# Hypersolve Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| ---: | ---: | --- | --- | --- |
| 1 | 66.125 us | `cargo-fuzz` | `sketch_projected_line_radius_equality` | `seed[92]` |
| 2 | 64.386 us | `cargo-fuzz` | `sketch_projected_line_orientation` | `seed[92]` |
| 3 | 58.496 us | `cargo-fuzz` | `sketch_projected_cubic_curve_line_tangent` | `seed[47]` |
| 4 | 58.046 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[22]` |
| 5 | 57.906 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[13]` |
| 6 | 57.657 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_g2` | `seed[5]` |
| 7 | 57.236 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_c2` | `seed[9]` |
| 8 | 56.916 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[12]` |
| 9 | 56.816 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_g2` | `seed[42]` |
| 10 | 56.706 us | `cargo-fuzz` | `sketch_projected_cubic_line_tangent` | `seed[65]` |
| 11 | 56.656 us | `cargo-fuzz` | `sketch_projected_point_on_cubic_curve` | `seed[17]` |
| 12 | 56.637 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[21]` |
| 13 | 56.416 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[8]` |
| 14 | 56.407 us | `cargo-fuzz` | `sketch_projected_distance` | `seed[9]` |
| 15 | 56.386 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_g2` | `seed[22]` |
| 16 | 56.346 us | `cargo-fuzz` | `sketch_projected_equal_point_line_distances` | `seed[9]` |
| 17 | 56.336 us | `cargo-fuzz` | `sketch_projected_point_line_distance_range` | `seed[2]` |
| 18 | 56.326 us | `cargo-fuzz` | `sketch_projected_distance_range` | `seed[10]` |
| 19 | 56.297 us | `cargo-fuzz` | `sketch_projected_distance_range` | `seed[9]` |
| 20 | 56.276 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[3]` |
| 21 | 56.256 us | `cargo-fuzz` | `sketch_projected_cubic_curve_line_tangent` | `seed[9]` |
| 22 | 56.217 us | `cargo-fuzz` | `sketch_projected_length_difference` | `seed[246]` |
| 23 | 56.177 us | `cargo-fuzz` | `sketch_projected_cubic_line_tangent` | `seed[21]` |
| 24 | 56.086 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[9]` |
| 25 | 56.086 us | `cargo-fuzz` | `sketch_projected_cubic_line_tangent` | `seed[9]` |
| 26 | 56.076 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_tangent` | `seed[6]` |
| 27 | 56.056 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_tangent` | `seed[6]` |
| 28 | 56.046 us | `cargo-fuzz` | `sketch_projected_cubic_curve_line_tangent` | `seed[21]` |
| 29 | 55.976 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[7]` |
| 30 | 55.956 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[15]` |
| 31 | 55.916 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[10]` |
| 32 | 55.886 us | `cargo-fuzz` | `sketch_projected_distance_range` | `seed[1]` |
| 33 | 55.877 us | `cargo-fuzz` | `sketch_projected_distance_range` | `seed[8]` |
| 34 | 55.847 us | `cargo-fuzz` | `sketch_projected_distance` | `seed[6]` |
| 35 | 55.846 us | `cargo-fuzz` | `sketch_projected_point_on_cubic_curve` | `seed[21]` |
| 36 | 55.816 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_tangent` | `seed[21]` |
| 37 | 55.757 us | `cargo-fuzz` | `sketch_projected_equal_point_point_distances` | `seed[9]` |
| 38 | 55.756 us | `cargo-fuzz` | `sketch_projected_point_on_cubic_curve` | `seed[8]` |
| 39 | 55.656 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_g2` | `seed[9]` |
| 40 | 55.646 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_tangent` | `seed[50]` |
| 41 | 55.606 us | `cargo-fuzz` | `sketch_projected_cubic_line_tangent` | `seed[23]` |
| 42 | 55.596 us | `cargo-fuzz` | `sketch_projected_point_distance_ratio` | `seed[21]` |
| 43 | 55.576 us | `cargo-fuzz` | `sketch_projected_point_distance_difference` | `seed[17]` |
| 44 | 55.566 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[58]` |
| 45 | 55.546 us | `cargo-fuzz` | `sketch_projected_length_difference` | `seed[20]` |
| 46 | 55.446 us | `cargo-fuzz` | `sketch_projected_point_on_arc` | `seed[17]` |
| 47 | 55.406 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[7]` |
| 48 | 55.397 us | `cargo-fuzz` | `sketch_projected_point_distance_ratio` | `seed[22]` |
| 49 | 55.396 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_tangent` | `seed[9]` |
| 50 | 55.396 us | `cargo-fuzz` | `sketch_projected_line_orientation` | `seed[1]` |
| 51 | 55.396 us | `cargo-fuzz` | `sketch_projected_point_on_cubic` | `seed[17]` |
| 52 | 55.386 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[12]` |
| 53 | 55.386 us | `cargo-fuzz` | `sketch_projected_point_radius_equality` | `seed[17]` |
| 54 | 55.356 us | `cargo-fuzz` | `sketch_projected_point_on_circle` | `seed[2]` |
| 55 | 55.336 us | `cargo-fuzz` | `sketch_projected_line_length_range` | `seed[22]` |
| 56 | 55.316 us | `cargo-fuzz` | `sketch_projected_cubic_curve_line_tangent` | `seed[17]` |
